2026-03-30 14:16:12,471 | INFO     | tamu_crawler | TAMU Events Crawler v3 starting...
2026-03-30 14:16:12,483 | INFO     | tamu_crawler | Loaded 61 sources from sources.yaml
2026-03-30 14:16:12,484 | DEBUG    | asyncio | Using selector: KqueueSelector
2026-03-30 14:16:12,484 | INFO     | tamu_crawler.state | No existing state file; starting fresh crawl.
2026-03-30 14:16:12,484 | INFO     | tamu_crawler | Starting crawl — 61 sources, dry_run=False
2026-03-30 14:16:12,563 | INFO     | tamu_crawler | ━━━ Crawling source: main_calendar (livewhale_json) ━━━
2026-03-30 14:16:12,639 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Main%20University%20Calendar
2026-03-30 14:16:12,820 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from main_calendar (of 0 raw)
2026-03-30 14:16:12,821 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:12,821 | INFO     | tamu_crawler | Source main_calendar: 0 raw → 0 normalised events
2026-03-30 14:16:12,821 | INFO     | tamu_crawler | ━━━ Crawling source: student_activities (livewhale_json) ━━━
2026-03-30 14:16:12,821 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.82s
2026-03-30 14:16:13,640 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Student%20Activities
2026-03-30 14:16:13,696 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from student_activities (of 0 raw)
2026-03-30 14:16:13,697 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:13,697 | INFO     | tamu_crawler | Source student_activities: 0 raw → 0 normalised events
2026-03-30 14:16:13,697 | INFO     | tamu_crawler | ━━━ Crawling source: student_interest (livewhale_json) ━━━
2026-03-30 14:16:13,697 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.94s
2026-03-30 14:16:14,641 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Student%20Interest
2026-03-30 14:16:14,749 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from student_interest (of 0 raw)
2026-03-30 14:16:14,749 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:14,749 | INFO     | tamu_crawler | Source student_interest: 0 raw → 0 normalised events
2026-03-30 14:16:14,749 | INFO     | tamu_crawler | ━━━ Crawling source: registrar (livewhale_json) ━━━
2026-03-30 14:16:14,749 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:15,642 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Registrar
2026-03-30 14:16:15,822 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from registrar (of 0 raw)
2026-03-30 14:16:15,822 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:15,822 | INFO     | tamu_crawler | Source registrar: 0 raw → 0 normalised events
2026-03-30 14:16:15,822 | INFO     | tamu_crawler | ━━━ Crawling source: rec_sports (livewhale_json) ━━━
2026-03-30 14:16:15,823 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.82s
2026-03-30 14:16:16,644 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Rec%20Sports
2026-03-30 14:16:16,800 | INFO     | tamu_crawler.parsers.livewhale | Parsed 86 events from rec_sports (of 87 raw)
2026-03-30 14:16:17,277 | DEBUG    | tamu_crawler.food_detector | Food detected (0.70, unknown, 2 cues): Rec Sports 100 Years: Centennial Celebration — medium_keyword:celebration, low_keyword:community, food_org:rec sports
2026-03-30 14:16:17,323 | DEBUG    | tamu_crawler.food_detector | Food detected (0.70, unknown, 2 cues): Rec-A-Palooza | Howdy Week Event — medium_keyword:celebration, food_org:rec sports
2026-03-30 14:16:17,362 | INFO     | tamu_crawler.normalizer | Normalised 86 events from 86 raw (filtered 0)
2026-03-30 14:16:17,362 | INFO     | tamu_crawler | Source rec_sports: 86 raw → 86 normalised events
2026-03-30 14:16:17,362 | INFO     | tamu_crawler | ━━━ Crawling source: student_orgs (livewhale_json) ━━━
2026-03-30 14:16:17,363 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.28s
2026-03-30 14:16:17,645 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Student%20Organizations
2026-03-30 14:16:17,753 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from student_orgs (of 0 raw)
2026-03-30 14:16:17,753 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:17,753 | INFO     | tamu_crawler | Source student_orgs: 0 raw → 0 normalised events
2026-03-30 14:16:17,753 | INFO     | tamu_crawler | ━━━ Crawling source: msc (livewhale_json) ━━━
2026-03-30 14:16:17,753 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:18,647 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/MSC
2026-03-30 14:16:18,713 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from msc (of 0 raw)
2026-03-30 14:16:18,713 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:18,713 | INFO     | tamu_crawler | Source msc: 0 raw → 0 normalised events
2026-03-30 14:16:18,714 | INFO     | tamu_crawler | ━━━ Crawling source: career_center (livewhale_json) ━━━
2026-03-30 14:16:18,714 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.93s
2026-03-30 14:16:19,648 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Career%20Center
2026-03-30 14:16:19,706 | INFO     | tamu_crawler.parsers.livewhale | Parsed 17 events from career_center (of 17 raw)
2026-03-30 14:16:19,808 | INFO     | tamu_crawler.normalizer | Normalised 17 events from 17 raw (filtered 0)
2026-03-30 14:16:19,808 | INFO     | tamu_crawler | Source career_center: 17 raw → 17 normalised events
2026-03-30 14:16:19,809 | INFO     | tamu_crawler | ━━━ Crawling source: engineering (livewhale_json) ━━━
2026-03-30 14:16:19,809 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.84s
2026-03-30 14:16:20,649 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Engineering
2026-03-30 14:16:20,823 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from engineering (of 0 raw)
2026-03-30 14:16:20,823 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:20,823 | INFO     | tamu_crawler | Source engineering: 0 raw → 0 normalised events
2026-03-30 14:16:20,823 | INFO     | tamu_crawler | ━━━ Crawling source: liberal_arts (livewhale_json) ━━━
2026-03-30 14:16:20,824 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.83s
2026-03-30 14:16:21,650 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Liberal%20Arts
2026-03-30 14:16:21,761 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from liberal_arts (of 0 raw)
2026-03-30 14:16:21,761 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:21,761 | INFO     | tamu_crawler | Source liberal_arts: 0 raw → 0 normalised events
2026-03-30 14:16:21,761 | INFO     | tamu_crawler | ━━━ Crawling source: science (livewhale_json) ━━━
2026-03-30 14:16:21,761 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:22,652 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Science
2026-03-30 14:16:22,761 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from science (of 0 raw)
